ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.50+/-0.11,0.51+/-0.10,0.50+/-0.00,0.50+/-0.01,0.50+/-0.01
600886,CHEMBL1040692,0.51+/-0.10,0.50+/-0.10,0.50+/-0.00,0.50+/-0.00,0.50+/-0.00
737826,CHEMBL1741325,0.50+/-0.12,0.52+/-0.11,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
737824_1,CHEMBL1741323,0.50+/-0.11,0.52+/-0.10,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
737825,CHEMBL1741324,0.50+/-0.11,0.51+/-0.10,0.50+/-0.00,0.50+/-0.00,0.50+/-0.01
1495405,CHEMBL3562136,0.51+/-0.11,0.52+/-0.10,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
737053,CHEMBL1738598,0.50+/-0.10,0.49+/-0.09,0.50+/-0.00,0.50+/-0.00,0.50+/-0.00
737400,CHEMBL1738606,0.51+/-0.11,0.50+/-0.09,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
736947,CHEMBL1738312,0.50+/-0.11,0.50+/-0.08,0.50+/-0.00,0.50+/-0.00,0.50+/-0.00
752347,CHEMBL1794311,0.52+/-0.13,0.51+/-0.09,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
752496,CHEMBL1794486,0.51+/-0.10,0.51+/-0.08,0.50+/-0.00,0.50+/-0.00,0.50+/-0.00
752509,CHEMBL1794499,0.51+/-0.11,0.53+/-0.09,0.50+/-0.01,0.50+/-0.01,0.50+/-0.01
752594,CHEMBL1794584,0.51+/-0.10,0.53+/-0.09,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
809095,CHEMBL1964081,0.51+/-0.10,0.51+/-0.08,0.50+/-0.00,0.50+/-0.00,0.50+/-0.01
845173,CHEMBL2114784,0.55+/-0.11,0.56+/-0.09,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
845196,CHEMBL2114807,0.48+/-0.11,0.49+/-0.08,0.50+/-0.00,0.50+/-0.00,0.50+/-0.00
954338,CHEMBL2354287,0.49+/-0.10,0.50+/-0.08,0.50+/-0.00,0.50+/-0.00,0.50+/-0.00
845206,CHEMBL2114817,0.50+/-0.11,0.49+/-0.10,0.50+/-0.01,0.50+/-0.00,0.50+/-0.01
